,institution,ser16,ser17,ser18,ser19,ser20,ser21
0,88관광개발(주),18,17.84,21.40,19.27,234,234
1,가축위생방역지원본부,99,99,101,116,128,139
2,강릉원주대학교치과병원,12,12,11,110.88,111.97,123.97
3,강원대학교병원,96,90,83,82,80,0
4,(주)강원랜드,126,133,149,157,164,167
5,건강보험심사평가원,137,133,131,122,127,126
6,경북대학교병원,147,153,141,152,138,139
7,경상국립대학교병원,160,147,144,139,141,142
8,경제인문사회연구회,65,69,79,88,88,91
9,공무원연금공단,202,196,191,189,178,183
10,과학기술정책연구원,133,145,141,102,105,117
11,광주과학기술원,125.5,124.4,131.5,141.4,146,158
12,한국교통안전공단,188,187,180,171,168,164
13,한국원자력통제기술원,88.32,93.22,100.60,103.08,109.75,121.75
14,국립공원공단,145,147,155,148,143,143
15,국립암센터,100,104,106,107,110,0
16,국민건강보험공단,231,218,215,204,194,196
17,국민연금공단,168,171,171,167,170,168
18,서울올림픽기념국민체육진흥공단,168,171,177,176,194,206
19,국제방송교류재단,152,163,165,169,179,180
20,국토연구원,150,162,173,158,156,157
21,근로복지공단,171,163,149,157,163,170
22,기술보증기금,208,205,198,196,196,208
23,한국남동발전(주),167,173,171,174,167,167
24,한국남부발전(주),190,186,194,184,180,180
25,한국농수산식품유통공사,171,174,164,176,167,167
26,한국농어촌공사,203,224,237,228,221,221
27,대구경북과학기술원,0,78.24,84.96,87.65,91.41,94.07
28,연구개발특구진흥재단,68,75,76,74,69,82
29,대외경제정책연구원,124,133,117,116,117,129
30,한국광물자원공사(2021.09.10. 해산),0,160,167,177,185,185
31,대한무역투자진흥공사,160,160,162,159,157,157
32,대한법률구조공단,165,167.16,172.68,172.7,184,174
33,대한석탄공사,264,274,272,272,273,0
34,대한적십자사,156,152,153,156,153,0
35,주택도시보증공사,141,124,105,110,115,127
36,한국국토정보공사,240.96,251.64,235.20,223.00,203.00,203.16
37,대한체육회,210.90,209.86,203.49,187.87,176.38,184.27
38,도로교통공단,224,195,203,194,184,158
39,독립기념관,174,186,167,148,139,145
40,한국동서발전(주),188.76,196.44,193.80,194.50,203.27,203.27
41,한국고전번역원,132,139,148,149,147,152
42,민주화운동기념사업회,131,148,138,138,124,136
43,한국보건복지인재원,54,63,69,78,84,95
44,부산대학교병원,91,96,82,80,85,85
45,부산항만공사,107,112,110,106,110,110
46,사립학교교직원연금공단,188.54,190.94,191.04,186.21,174.12,185.78
47,한국산업기술시험원,174,172,162,156,151,163
48,산업연구원,199.44,197.76,179.16,166.49,153.84,151.73
49,한국서부발전(주),178,180,175,175,173,173
50,서울대학교병원,123,127,125,114,116,116
51,서울대학교치과병원,130,129,117,118,108,108
52,한국광해관리공단(2021.09.10. 해산),128,133,146,151,152,144
53,한국해양교통안전공단,90,91,90,92,91,0
54,수도권매립지관리공사,161,160,160,140,150,150
55,신용보증기금,198,198,198,194,190,202
56,에너지경제연구원,158,163,161,151,152,139
57,한국에너지공단,159,153,157,148,154,155
58,영상물등급위원회,163,153,162,,154,
59,영화진흥위원회,186,181,189,184,168,180
60,예금보험공사,131,135,138,149,154,166
61,예술의전당,187.38,185.34,178.54,188.25,195.50,192.68
62,한국세라믹기술원,116,118,128,135,132,136
63,한국원자력의학원,184,185,191,186,188,196
64,인천국제공항공사,151,141,139,138,140,152
65,인천항만공사,87,88,97,100,110,118
66,재외동포재단,132,132,108,109,119,131
67,신용보증재단중앙회,106.71,141.19,122.51,105.87,84.47,99.46
68,전남대학교병원,152.33,153.55,153.55,152.24,148.67,148.67
69,전북대학교병원,148,163,144,145,144,144
70,전쟁기념사업회,124,146,157,153,161,160
71,정보통신정책연구원,140,142,134,133,141,141
72,제주국제자유도시개발센터,120,118,114,112,121,133
73,제주대학교병원,86,102,97,94,89,97.4
74,주택관리공단(주),156,152,152,155,158,170
75,(주)한국가스기술공사,167,170,172,169,173,185
76,중소기업유통센터,128,137,131,114,113,125
77,중소기업은행,190,195,198,201,203,215
78,중소기업기술정보진흥원,67,77,75,68,72,84
79,중소벤처기업진흥공단,162,164,156,157,162,173
80,한국예탁결제원,208,198,196,196,211,211
81,축산물품질평가원,171,181,184,175,165,177
82,충남대학교병원,145,142,144,133,116,116
83,충북대학교병원,,176,,,121,
84,코레일로지스(주),78,92,84,82,89,101
85,통일연구원,120,133,125,103,124,124
86,학교법인한국폴리텍,258.60,253.20,252.72,241.80,229.87,229.87
87,한국교육학술정보원,130.59,133.00,135.44,142.69,145.34,154.75
88,한국국제협력단,136.00,132.00,127.00,120.00,128.00,128.00
89,한국가스공사,182,185,178,175,180,0
90,한국가스안전공사,189,190,191,181,186,198
91,한국출판문화산업진흥원,148.92,157,166,166,156,155
92,한국부동산원,164,175,164,166,163,175
93,한국개발연구원,148,153,119,133,136,143
94,한국법무보호복지공단,129.65,123.76,120.67,107.28,109.94,115.83
95,한국건설기술연구원,192,199,172,175,183,183
96,한국공항공사,194,195,184,165,166,170
97,한국과학기술기획평가원,0,126,129,124,125,125
98,한국과학기술연구원,179,187,187,175,168,168
99,한국과학기술원,181,180,173,169,171,171
100,한국과학기술정보연구원,178,190,175,177,177,170
101,한국과학창의재단,106,92,82,96,95,107
102,한국관광공사,226,233,233,209,206,206
103,한국교육개발원,150.00,141.00,140.00,138.00,147.00,146.00
104,한국교육과정평가원,113,119,124,130,135,133
105,한국교통연구원,165,171,178,160,157,169
106,한국국방연구원,186,181,174,157,166,178
107,한국국제교류재단,129,128,104,106,112,124
108,노사발전재단,100,110,106,122,116,128
109,한국기계연구원,,185,,,178,
110,한국기술교육대학교,264.96,253.68,257.16,257.16,149.52,145.84
111,한국기초과학지원연구원,,141,,,146,
112,한국노동연구원,186,190,156,140,134,145
113,한국농촌경제연구원,155,144,118,126,130,130
114,한국도로공사,196,200,199,218,214,214
115,한국디자인진흥원,138.00,150.98,148.14,151.28,148.19,155.55
116,한국마사회,193,195,206,208,219,217
117,한국방송통신전파진흥원,191.04,170.52,174.96,167.10,165.66,177.66
118,한국문학번역원,85,93,93,92,103,108
119,한국문화관광연구원,101,103,109,112,114,121
120,한국문화예술위원회,152.95,154.31,155.82,146.07,144.52,156.52
121,한국문화재재단,150,151,150,153,152,164
122,한국문화진흥주식회사,13.34,12.99,12.48,12.87,151.5,156
123,한국방송광고진흥공사,17.90,221,216,220,232,242
124,한국법제연구원,96,102,97,100,106.77,118.77
125,한국벤처투자,58,50,50,57,56,68
126,한국보건사회연구원,156,149,148,145,138,150
127,한국보건산업진흥원,124,122,116,116,119,123
128,한국보건의료인국가시험원,101,96,106,119,121,136
129,한국보훈복지의료공단,153,156,126,124,124,102
130,한국사학진흥재단,88,97,76,79,81,96
131,한국산업단지공단,169,173,175,173,170,170
132,한국산업안전보건공단,168,171,169,158,156,168
133,한국산업은행,175,182,187,192,196,208
134,한국산업인력공단,146,152,139,138,140,0
135,한국생명공학연구원,155,160,124,129,131,131
136,한국생산기술연구원,132.96,137.63,109.83,106.30,113.96,113.96
137,한국석유공사,161,178,182,187,193,193
138,한국석유관리원,123.24,129.24,134.52,136.82,130.69,0
139,한국소방산업기술원,130.77,113.34,113.24,111.53,110.87,122.95
140,한국소비자원,148.00,146.00,137.00,128.00,128.00,140.00
141,한국수력원자력(주),171,174,179,177,177,177
142,한국수자원공사,176,181,177,174,178,178
143,한국무역보험공사,148,155,157,160,162,174
144,한국수출입은행,146,150,153,155,152,164
145,한국승강기안전공단,143,141,139,131,132,144
146,국토안전관리원,135.60,123.36,118.35,106.83,147.01,148.01
147,한국식품연구원,165,156,130,126,128,128
148,한국에너지기술연구원,183,176,161,149,150,150
149,한국여성정책연구원,172,175,169,175,178,170
150,한국영상자료원,120,115,128,134,139,151
151,한국에너지정보문화재단,11.51,12.67,14.05,14.56,14.38,15.68
152,한국원자력안전기술원,162.36,165,164.04,160.82,162,162
153,한국원자력연구원,192,198,186,180,174,169
154,한전원자력연료주식회사,162,168,174,175,174,174
155,한국자산관리공사,155,161,163,152,162,174
156,한국장애인고용공단,160,141,162,136,132,132
157,한국장애인개발원,0,99,116,104,112,125
158,한국전기안전공사,187,189,197,179,177,189
159,한국전기연구원,206,206,174,166,160,172
160,한국전력거래소,195,196,180,148,139,136
161,한국전력공사,221,216,204,193,183,183
162,한국전력기술주식회사,211,212,211,221,220,222
163,한국전자통신연구원,209,210,194,199,202,201
164,한국조세재정연구원,108,111,110,92,97,98
165,한국조폐공사,260,264,255,256,242,231
166,한국주택금융공사,144,138,134,134,133,145
167,한국중부발전(주),196,200,196,192,185,185
168,한국지역난방공사,147,151,140,143,149,161
169,한국지질자원연구원,174,179,179,178,180,174
170,한국직업능력연구원,144,145,152,158,158,167
171,한국천문연구원,162,165,154,153,152,151
172,한국철도공사,235,237,229,210,209,209
173,한국철도기술연구원,163,167,174,166,167,167
174,국가철도공단,227,218,213,191,180,180
175,코레일유통(주),157,169,171,166,166,166
176,한국청소년정책연구원,123,131,140,145,158,155
177,한국청소년상담복지개발원,84.14,94.18,92.86,93.85,99.52,106.79
178,한국체육산업개발(주),231.6,231.74,223.74,238.25,233.39,235.80
179,여수광양항만공사,57,66,70,75,79,88
180,한국투자공사,53,57,64,70,80,92
181,한국표준과학연구원,195.6,204.12,209.28,196.25,189.91,189.91
182,한국학중앙연구원,,141,,,138,
183,한국한의학연구원,107,118,104,108,114,114
184,한국항공우주연구원,149,162,155,158,167,167
185,한국해양수산개발원,150,146,121,124,135,128
186,한국해양수산연수원,136.13,136.75,142.95,127.35,117.91,129.91
187,한국해양과학기술원,175,179,183,188,175,175
188,한국행정연구원,111,120,88,98,102,101
189,한국형사·법무정책연구원,0,132,138,144,146,150
190,한국화학연구원,200.36,201.96,204.65,205.86,193.48,182.56
191,한국환경연구원,120,126,135,144,152,152
