institution,new16,new17,new18,new19,new20,new21
88관광개발(주),25892,32975,34678,35143,35075,35075
가축위생방역지원본부,25544,26062,26384,27241,27280,27015
강릉원주대학교치과병원,19381,19790,20506,22513,23160,23494
강원대학교병원,26909,27900,28228,28977,30094,30365
(주)강원랜드,37628,34628,37765,38939,36740,39941
건강보험심사평가원,34411,36025,34693,35930,37932,38244
경북대학교병원,32239,33769,36267,35321,35497,36599
경상국립대학교병원,31523,33118,33070,33860,34765,34765
경제인문사회연구회,33458,34487,34680,36680,37118,37118
공무원연금공단,34509,33097,33507,34233,34023,34351
과학기술정책연구원,30668,33832,34240,34240,34488,34488
광주과학기술원,37020,38532,39872,41075,41040,41040
한국교통안전공단,36104,36913,37157,38125,39986,40346
한국원자력통제기술원,41882,42833,45115,46030,48858,49225
국립공원공단,29957,32613,32563,34255,35193,35509
국립암센터,32769,33816,37502,38852,42042,41790
국민건강보험공단,29803,30855,31893,33939,37129,37516
국민연금공단,30596,32140,33640,34338,35598,35851
서울올림픽기념국민체육진흥공단,36384,36540,36868,38712,41393,41761
국제방송교류재단,27834,30268,31588,32035,31878,31140
국토연구원,31696,31956,33412,34884,42335,43335
근로복지공단,27948,28485,29258,30637,31308,31557
기술보증기금,42420,43800,45260,46560,47860,47860
한국남동발전(주),36162,38601,39589,41080,42058,42395
한국남부발전(주),37713,38392,40539,41591,42555,42938
한국농수산식품유통공사,34643,33602,34444,35042,35192,35497
한국농어촌공사,23880,28990,30215,30695,31521,32964
대구경북과학기술원,49353,51121,51738,51797,52637,52637
연구개발특구진흥재단,40146,40940,41546,42091,42882,42882
대외경제정책연구원,33824,34187,34510,34746,35027,35210
한국광물자원공사(2021.09.10. 해산),37080,37469,38384,39273,39554,40587
대한무역투자진흥공사,32844,33675,33382,33484,34247,34407
대한법률구조공단,26807,28355,27516,29538,30317,29877
대한석탄공사,30172,32032,32379,32639,33648,33951
대한적십자사,30569,31691,30258,30265,33753,34056
주택도시보증공사,38132,38927,40439,41161,42066,42442
한국국토정보공사,37429,38604,40086,41303,42747,43132
대한체육회,31703,32032,32534,32789,33366,33660
도로교통공단,31758,31838,29262,30861,31768,31988
독립기념관,29148,29739,31401,32633,34207,34501
한국동서발전(주),37995,38668,39990,40596,42185,42565
한국고전번역원,32093,36851,40135,37806,36278,36591
민주화운동기념사업회,28864,29602,30270,30743,31161,31398
한국보건복지인재원,30595,31644,32890,34108,34745,35052
부산대학교병원,31922,32666,33098,36686,37664,37404
부산항만공사,28752,30414,31945,31304,31093,31373
사립학교교직원연금공단,35817,36425,36664,37305,37746,37251
한국산업기술시험원,38820,41172,41172,41412,42540,42744
산업연구원,36794,37118,37740,27227,31051,31051
한국서부발전(주),36825,39072,43087,43899,44976,45381
서울대학교병원,44690,44896,46799,49384,50781,50910
서울대학교치과병원,40742,42169,43265,44044,45277,45685
한국광해관리공단(2021.09.10. 해산),37802,37147,37050,36008,36214,36214
한국해양교통안전공단,35669,36753,37309,37973,39023,39371
수도권매립지관리공사,35492,36696,37625,38423,39514,39709
신용보증기금,42160,43075,44074,46051,47731,48134
에너지경제연구원,43584,44601,45036,45780,46320,46710
한국에너지공단,34425,35368,36287,37143,38510,38854
영상물등급위원회,27994,28640,27793,28527,28415,28204
영화진흥위원회,32172,32412,32076,32968,33403,33587
예금보험공사,39778,40364,40749,41475,43392,43629
예술의전당,37931,35359,35359,36216,38396,38396
한국세라믹기술원,41203,41203,42919,42234,42234,42234
한국원자력의학원,36600,39348,40428,41184,42444,42444
인천국제공항공사,42155,43987,44772,45079,46175,46360
인천항만공사,33315,34830,34973,34574,35401,35720
재외동포재단,29815,31200,33528,34498,32490,33572
신용보증재단중앙회,38003,39853,40436,39277,40869,41383
전남대학교병원,30219,31494,32056,35085,36068,36328
전북대학교병원,28421,29356,30456,32931,34035,34295
전쟁기념사업회,25142,26083,26854,28164,28300,28715
정보통신정책연구원,42644,43244,43644,43644,44609,44985
제주국제자유도시개발센터,26272,27559,29166,30773,32488,32776
제주대학교병원,25559,26762,27652,28103,28817,29052
주택관리공단(주),24689,25430,27183,28815,28956,24156
(주)한국가스기술공사,33403,34105,34279,34590,34780,35049
중소기업유통센터,37605,38998,40476,41028,42125,42460
중소기업은행,47077,48793,49737,50457,51807,52266
중소기업기술정보진흥원,33288,33288,33288,33288,34262,34563
중소벤처기업진흥공단,33514,37134,37455,37700,40123,40859
한국예탁결제원,41979,43119,45538,45999,46376,45978
축산물품질평가원,26804,27897,27939,31027,32478,31766
충남대학교병원,31659,32671,33528,36214,37393,37391
충북대학교병원,,32785,,,34794,
코레일로지스(주),23985,25718,26749,27826,28737,29283
통일연구원,30546,31814,32240,29755,30559,30559
학교법인한국폴리텍,32821,34308,34986,35067,37073,37073
한국교육학술정보원,42819,43586,45351,46803,45445,35803
한국국제협력단,31486,32051,36090,36186,37656,37987
한국가스공사,39871,40552,41705,42819,45638,46047
한국가스안전공사,34666,34835,38895,38545,40334,41057
한국출판문화산업진흥원,30328,30328,30328,30882,31320,31175
한국부동산원,39992,40510,40712,41314,42871,43138
한국개발연구원,32999,33456,33497,41040,41986,42151
한국법무보호복지공단,28820,29921,29248,30240,31775,32029
한국건설기술연구원,30299,32236,32857,34291,39115,39115
한국공항공사,32881,34227,34593,35384,36257,36144
한국과학기술기획평가원,42438,44221,45327,45594,40095,40095
한국과학기술연구원,42642,43729,44257,44761,45816,46207
한국과학기술원,50592,49888,48517,49237,46238,46238
한국과학기술정보연구원,38353,41005,41251,41405,42523,42906
한국과학창의재단,38450,41770,43656,43488,44578,44578
한국관광공사,32620,34081,34590,35726,36716,36716
한국교육개발원,42290,44499,45470,43405,43992,44183
한국교육과정평가원,40487,42398,44827,45634,44567,44567
한국교통연구원,30244,31068,31884,33126,41394,41745
한국국방연구원,37849,40102,40210,37555,38474,40683
한국국제교류재단,30623,31873,31873,31873,31873,32755
노사발전재단,26917,30457,30078,30395,32716,33172
한국기계연구원,,40018,,,40624,
한국기술교육대학교,30750,32247,33030,33030,34476,35235
한국기초과학지원연구원,37126,39049,39496,39700,40188,40188
한국노동연구원,33600,35832,36628,37307,38374,38374
한국농촌경제연구원,43396,43396,43396,44344,44896,44896
한국도로공사,31894,33469,33917,35531,37740,38077
한국디자인진흥원,33287,31858,32638,36792,38376,38376
한국마사회,39652,40640,41975,43188,43188,43361
한국방송통신전파진흥원,30299,31686,29641,30143,30940,30940
한국문학번역원,28301,26680,26534,27436,27935,28462
한국문화관광연구원,33598,33085,35935,36591,37563,37735
한국문화예술위원회,33110,36310,36310,36310,36430,36430
한국문화재재단,27969,29294,30223,31583,31801,38090
한국문화진흥주식회사,26638,28112,28843,31092,31310,30736
한국방송광고진흥공사,36016,36939,37864,37238,39087,39259
한국법제연구원,32712,33172,33362,33072,33690,33197
한국벤처투자,41855,41469,42160,42160,40000,44875
한국보건사회연구원,36008,38380,39620,41110,42169,42534
한국보건산업진흥원,34521,34521,34521,34521,35467,35467
한국보건의료인국가시험원,36393,33383,35225,35566,36143,36432
한국보훈복지의료공단,35831,36726,37654,38227,39097,39262
한국사학진흥재단,32517,30769,32347,32783,33927,32377
한국산업단지공단,41335,40486,41201,42329,43313,43687
한국산업안전보건공단,31798,31852,32564,33194,33764,34067
한국산업은행,46704,48611,49355,51417,50117,50315
한국산업인력공단,29716,30214,28416,30465,31824,32108
한국생명공학연구원,37420,39130,40840,41790,42170,42170
한국생산기술연구원,39612,40074,41582,42182,41833,43113
한국석유공사,28847,28982,36865,36956,36843,36843
한국석유관리원,38837,38012,38911,39456,39384,39300
한국소방산업기술원,32456,34142,34945,35680,35702,35340
한국소비자원,35033,36214,36585,37904,39379,39379
한국수력원자력(주),37402,38890,40312,40939,41956,42331
한국수자원공사,34234,35135,36125,38181,39164,39360
한국무역보험공사,39881,40120,41164,41911,42975,43128
한국수출입은행,43414,44101,44667,44879,44816,45217
한국승강기안전공단,33443,34178,35029,38682,37060,39032
국토안전관리원,37194,38325,37721,38146,39061,39409
한국식품연구원,36096,36804,38172,38424,39096,39096
한국에너지기술연구원,37779,41249,42532,44954,46321,46321
한국여성정책연구원,35984,36344,36668,37304,37016,37556
한국영상자료원,25800,26040,26290,26520,26760,26980
한국에너지정보문화재단,33605,34394,34303,33545,34480,34480
한국원자력안전기술원,44513,45693,46691,47339,48204,48204
한국원자력연구원,48291,49454,50350,51298,51690,51064
한전원자력연료주식회사,33212,34340,34992,35611,36592,36592
한국자산관리공사,38980,41330,42315,43445,44628,45030
한국장애인고용공단,30234,31317,32136,30065,31108,31153
한국장애인개발원,32948,34100,34986,35616,36612,36944
한국전기안전공사,28424,32441,33776,34553,37286,38310
한국전기연구원,41127,43739,44486,45483,44684,45813
한국전력거래소,38424,38523,41008,43406,43406,44307
한국전력공사,32694,34035,37617,38635,39926,40258
한국전력기술주식회사,35375,36146,35747,35059,35658,35979
한국전자통신연구원,37071,38784,39276,39113,40994,39994
한국조세재정연구원,25130,25949,27615,27849,28214,28468
한국조폐공사,34583,34583,34947,34946,35703,35784
한국주택금융공사,39672,41369,42284,42900,43986,44369
한국중부발전(주),37021,38143,39855,40158,41586,42579
한국지역난방공사,33529,34731,35951,36004,37273,37277
한국지질자원연구원,43992,46027,45016,48903,47464,47464
한국직업능력연구원,39522,37443,37431,37117,37124,36454
한국천문연구원,39468,40332,40764,41964,43212,43212
한국철도공사,30129,31133,32259,32700,33062,33328
한국철도기술연구원,35969,38876,39692,41040,42555,42555
국가철도공단,33286,34298,35605,36473,37580,37882
코레일유통(주),31859,30430,31101,30039,31226,30425
한국청소년정책연구원,34165,33898,34379,36747,38925,38205
한국청소년상담복지개발원,29826,30270,32650,33356,32924,32711
한국체육산업개발(주),32469,31727,33283,33927,35449,35732
여수광양항만공사,31214,29364,29611,29785,37057,37417
한국투자공사,34910,40145,37506,40132,43371,35214
한국표준과학연구원,43293,46791,42819,49074,47896,43793
한국학중앙연구원,,27552,,,27982,
한국한의학연구원,39837,40990,42186,42902,42902,42902
한국항공우주연구원,35440,36514,37214,37514,37913,37663
한국해양수산개발원,32340,33875,35342,35343,35823,35823
한국해양수산연수원,24547,24869,26089,27040,27676,27920
한국해양과학기술원,35314,37097,38598,38598,38928,38928
한국행정연구원,25224,25956,26508,26892,27516,27756
한국형사·법무정책연구원,28850,28560,28560,28802,31700,32570
한국화학연구원,39133,40228,41465,42211,42844,42929
한국환경연구원,35094,36574,36574,36574,36935,36985
한전KPS(주),35370,35962,37066,38087,40306,40633
한전KDN,30506,30390,31325,31591,32724,32978
코레일관광개발(주),21612,21612,22260,24316,25304,25782
대한장애인체육회,37069,38332,38382,38947,39842,40135
국토교통과학기술진흥원,29141,28348,29255,30498,31253,31253
한국문화예술교육진흥원,25228,26786,27046,27242,27454,27640
한국고용정보원,36486,37743,38394,37817,39486,39486
코레일네트웍스(주),26872,25528,28019,30297,32402,32728
우체국물류지원단,31673,32740,33559,34509,36654,37272
한국어촌어항공단,29480,27266,28166,28166,28941,29188
한국특허정보원,34635,35680,35867,36637,36962,36945
국립박물관문화재단,22268,,23382,,,24223
국방과학연구소,42240,44665,45013,46082,47819,48222
국방기술품질원,41946,42098,42098,42944,44307,44672
한국발명진흥회,35385,36756,38635,38596,39369,39369
(재)우체국금융개발원,32767,34909,28929,34036,33427,33724
한국우편사업진흥원,31857,34619,35300,35268,35980,36842
그랜드코리아레저(주),34965,36167,37090,38106,39006,39397
동북아역사재단,25912,29469,22943,22692,25250,25629
울산항만공사,33925,40921,40921,41177,42398,42732
전략물자관리원,33707,32050,30899,30675,30919,30919
(재)우체국시설관리단,30968,33484,34682,34068,34905,34103
한국원자력환경공단,31481,37526,38653,38469,38199,39446
한국항로표지기술원,28790,29082,30623,35717,31443,31714
해양수산과학기술진흥원,,30207,,,30207,
정부법무공단,25552,26377,27150,27781,28870,29794
한국사회복지협의회,26979,28245,29670,30497,34697,35809
한국노인인력개발원,30481,30635,31903,32694,33615,34009
한국국제보건의료재단,27011,27011,25838,25838,33286,33584
한국재료연구원,42949,44467,45470,46190,45921,45921
한국핵융합에너지연구원,34668,35602,35602,35602,35926,35926
극지연구소,33668,34143,34412,34450,37075,37075
안전성평가연구소,30500,30774,31189,31500,32490,32685
고등과학원,41548,38216,38288,38492,38912,38912
코레일테크(주),,24077,,,25793,
한국연구재단,46918,47896,47164,48246,49299,49299
한국에너지기술평가원,33613,33599,33975,34642,36243,36363
한국저작권위원회,32454,34923,34929,33644,32492,38492
한국환경산업기술원,40684,41036,41425,41606,41560,41560
한국지능정보사회진흥원,30907,34363,35511,36373,36401,36401
한국산업기술진흥원,35296,37144,38401,38907,39455,39455
정보통신산업진흥원,32714,33881,35102,37049,39563,39910
한국콘텐츠진흥원,30010,30010,30150,30150,32738,33025
한국토지주택공사,27155,27155,29020,30926,31601,31601
한국산업기술평가관리원,37293,37293,37293,40293,41018,41018
한국인터넷진흥원,35830,36800,38020,38770,38770,39090
한국환경공단,31185,32099,32406,32522,33320,33614
게임물관리위원회,29221,29221,29221,29721,29916,29721
농림식품기술기획평가원,33112,35705,34672,34672,34751,34751
재단법인 국악방송,29417,29843,29843,29843,29843,29843
한국지식재산연구원,33822,35325,39350,39350,39370,41753
태권도진흥재단,32917,32917,33133,33133,36093,36093
국가평생교육진흥원,32312,34235,32531,34740,35554,36063
한국사회보장정보원,29571,27382,30226,31593,33618,33618
한국언론진흥재단,32117,32316,34070,33732,35019,36042
한국장학재단,40094,42249,42026,41566,43399,43782
한국지식재산보호원,30025,30425,30425,31114,31724,31724
농업기술실용화재단,29000,29000,29000,29000,29250,33258
세계김치연구소,32294,33358,34176,34757,34757,34757
나노종합기술원,37830,39497,40157,42561,43287,43534
KDI국제정책대학원,38361,39373,40059,40976,42652,43029
건축공간연구원,38366,38366,38366,38366,38366,38366
육아정책연구소,29745,30129,31066,30129,31809,30129
국가수리과학연구소,37544,40554,41202,41562,42474,42826
분당서울대학교병원,32350,33112,38099,39185,39840,39840
국립중앙의료원,27964,28791,29785,30644,31184,32044
한국청소년활동진흥원,27115,28456,32231,33404,32426,32880
동남권원자력의학원,34717,35935,36872,37537,38589,38589
북한이탈주민지원재단,36329,38254,40264,40768,41867,42217
한국로봇산업진흥원,32200,34260,36379,37674,39072,39402
창업진흥원,39022,40287,41003,42813,42731,43068
한국공예디자인문화진흥원,28864,29381,30317,33923,35434,35897
(재)예술경영지원센터,23854,23854,23854,24828,24828,27262
한국수산자원공단,32528,32498,32506,34163,34163,34163
한국사회적기업진흥원,28845,29580,29560,30019,30155,30155
국가과학기술인력개발원,44069,46142,29489,28967,29167,29167
국민건강보험공단 일산병원,34246,36073,36269,38472,39590,40052
한국데이터산업진흥원,36662,36731,37483,37143,36422,37090
해양환경공단,32208,32718,33256,33367,34414,34709
농업정책보험금융원,38015,38998,39869,40145,41046,41366
한국양성평등교육진흥원,27433,28431,29159,29677,30497,32448
한국상하수도협회,34595,34128,35983,36898,35821,37460
한국나노기술원,41978,42357,42357,43046,44137,44498
한국해양조사협회,30898,30746,31394,30908,30911,31500
한국공정거래조정원,31795,31797,32414,33814,34797,34958
식품안전정보원,29861,29105,29302,29105,30962,31690
한국보건의료연구원,30685,31732,32537,32537,32537,32537
한국문화정보원,26844,27703,27703,28414,29408,29952
울산과학기술원,39717,43987,44166,46331,47040,47115
건설근로자공제회,35913,37463,38695,38520,39864,41044
수자원환경산업진흥(주),31018,25595,23062,25597,30287,28983
한국등산·트레킹지원센터,0,0,24370,31752,34422,36088
한국건강가정진흥원,24884,27876,28152,29149,29840,30181
남북교류협력지원협회,30077,29937,30571,32273,31201,29894
한국보육진흥원,25200,25200,26200,24200,25700,26300
부산대학교치과병원,30053,30764,31680,34293,35428,35686
한국건강증진개발원,30303,30303,30303,33306,34900,34900
기초과학연구원,42669,41847,40836,41049,41380,41560
한국임업진흥원,29709,30069,31070,30950,31070,31070
특허정보진흥센터,32715,32715,32715,32715,32715,34275
한국잡월드,32325,33763,34058,36041,36680,36680
농림수산식품교육문화정보원,28780,29870,29871,30082,30700,30904
재단법인 한국자활복지개발원,0,0,0,25504,25617,29567
한국의약품안전관리원,31077,36256,36356,38020,38260,38288
한국기상산업기술원,31920,32018,31372,31433,32691,32981
한국의료기기안전정보원,32118,33108,33108,34027,34572,34572
